,u,v,sim
154,Q158__middle,Q161__middle,0.485141459011331
155,Q158__top,Q159__top,0.7553216807255996
156,Q160__middle,Q161__middle,0.6259353398104378
157,Q164__top,Q173P__top,0.7913892356776252
158,Q164__top,Q168P,0.7782296729821777
159,Q164__top,Q184__bottom,0.7177805446924925
160,Q164__top,Q172P__top,0.6861617242165442
161,Q164__top,Q254P__top,0.6830051032039703
162,Q164__top,Q165P,0.7438279581593373
163,Q164__top,Q166P,0.7463304280728829
164,Q164__top,Q188__bottom,0.6682040580116795
165,Q165P,Q168P,0.7759293768788171
166,Q165P,Q166P,0.71575281907586
167,Q165P,Q173P__top,0.7368635825727383
168,Q165P,Q175__c2,0.6348463620659167
169,Q165P,Q187__bottom,0.7152903410095625
170,Q166P,Q168P,0.8424428793439804
171,Q166P,Q173P__top,0.7180607573866001
172,Q168P,Q173P__top,0.7482061964752174
173,Q169P__top,Q170P__top,0.7135175055967136
174,Q169P__top,Q172P__top,0.6785950668490491
175,Q169P__top,Q186__bottom,0.6309169378476309
176,Q170P__top,Q172P__top,0.5952654105811234
177,Q170P__top,Q186__bottom,0.633165342120566
178,Q172P__top,Q173P__top,0.6605978637813844
179,Q173P__top,Q202P__top,0.6256462049368345
180,Q173P__top,Q254P__top,0.6559855735885698
181,Q182__bottom,Q188__bottom,0.7130542843616854
182,Q182__bottom,Q186__bottom,0.6940592009935831
183,Q182__bottom,Q184__bottom,0.7116756600152102
184,Q182__bottom,Q185__bottom,0.5643759056096046
185,Q182__bottom,Q187__bottom,0.6546530392684239
186,Q184__bottom,Q187__bottom,0.7481568205550106
187,Q184__bottom,Q188__bottom,0.7457357041972984
188,Q184__bottom,Q185__bottom,0.5735523123166625
189,Q184__bottom,Q186__bottom,0.6450403795313802
190,Q184__bottom,Q254P__top,0.6548183826458552
191,Q185__bottom,Q186__bottom,0.667086644698585
192,Q185__bottom,Q197P__top,0.4509495971846552
193,Q185__bottom,Q188__bottom,0.5551522802587976
194,Q185__top,Q186__top,0.6764319547824702
195,Q186__bottom,Q188__bottom,0.6624191257692915
196,Q187__bottom,Q210P__bottom,0.6671834952377939
197,Q187__bottom,Q202P__top,0.629022561149258
198,Q187__bottom,Q188__bottom,0.7110559124133785
199,Q187__bottom,Q212P__bottom,0.6622630762902256
200,Q188__bottom,Q255P__top,0.5822944611014675
201,Q197P__bottom,Q198P__bottom,0.717294671008425
202,Q197P__top,Q198P__top,0.6643799307742679
203,Q198P__bottom,Q245__bottom,0.4638186798986923
204,Q205P__bottom,Q206P__bottom,0.6021782871139882
205,Q205P__bottom,Q211P__bottom,0.5795000106926712
206,Q205P__bottom,Q215P__bottom,0.5670275079706384
207,Q205P__bottom,Q218P__bottom,0.5685592483403678
208,Q209P__bottom,Q211P__bottom,0.6886080280575694
209,Q209P__bottom,Q213P__bottom,0.6063748552848732
210,Q209P__bottom,Q210P__bottom,0.6402982739740314
211,Q209P__bottom,Q216P__bottom,0.648512283679917
212,Q209P__bottom,Q217P__bottom,0.6188388304554524
213,Q209P__bottom,Q218P__bottom,0.6411588792975461
214,Q210P__bottom,Q212P__bottom,0.8245425188374597
215,Q210P__bottom,Q215P__bottom,0.7319358259025569
216,Q210P__bottom,Q211P__bottom,0.7093566946515791
217,Q210P__bottom,Q218P__bottom,0.6506926700387617
218,Q211P__bottom,Q212P__bottom,0.740650717038786
219,Q211P__bottom,Q213P__bottom,0.568379632599816
220,Q211P__bottom,Q215P__bottom,0.6744457625861942
221,Q211P__bottom,Q216P__bottom,0.6479117213062168
222,Q211P__bottom,Q218P__bottom,0.6701732804513352
223,Q212P__bottom,Q215P__bottom,0.7269349630195493
224,Q213P__bottom,Q216P__bottom,0.59008817843165
225,Q213P__bottom,Q217P__bottom,0.5822738924419357
226,Q215P__bottom,Q216P__bottom,0.6803403277229925
227,Q215P__bottom,Q218P__bottom,0.6727033439608512
228,Q216P__bottom,Q217P__bottom,0.6188051115197812
229,Q217P__bottom,Q218P__bottom,0.6852319243250122
230,Q224P__bottom,Q229P__bottom,0.6105724491940083
231,Q224P__bottom,Q227P__top,0.3667773396970326
232,Q227P__top,Q230P__top,0.6170914829515566
233,Q239P__bottom,Q245__bottom,0.5364987855979929
234,Q254P__top,Q255P__top,0.628905532914785
235,Q254P__top,Q256P__top,0.520450122994456
236,Q255P__top,Q256P__top,0.7253868949621337
237,Q256P__top,Q259P__top,0.35946091092755034
