u,v,sim
Q54P__bottom,Q55P__bottom,0.6245272148886607
Q54P__bottom,Q56P__top,0.6175246609124537
Q54P__bottom,Q76P__top,0.5031702193869613
Q59P__middle,Q75P__middle,0.5194997179591916
Q75P__middle,Q69P__middle,0.5267393907143807
Q75P__middle,Q70P__middle,0.508048423573234
Q75P__middle,Q76P__top,0.5456520775131923
Q75P__middle,Q78P__middle,0.5273823777216088
Q75P__middle,Q79P__middle,0.5655625027714957
Q75P__middle,Q80P__middle,0.5685335461842047
Q75P__middle,Q81P__middle,0.5467163318699836
Q76P__top,Q122__top,0.5036015869146035
Q76P__top,Q134P__bottom,0.5015482366188121
Q76P__top,Q230P__bottom,0.5034842011469305
Q76P__top,Q238P__top,0.508333522302093
Q76P__top,Q246__top,0.5004956912987112
Q76P__top,Q56P__top,0.5070900123304563
Q76P__top,Q69P__middle,0.5040782288834563
Q76P__top,Q70P__middle,0.5035527428088373
Q76P__top,Q79P__middle,0.5270625328428796
Q76P__top,Q80P__middle,0.520254061093468
Q76P__top,Q81P__middle,0.5042381594279056
Q76P__top,Q85P__top,0.5350590600653431
Q235P__bottom,Q177__bottom,0.511006812490149
Q235P__bottom,Q237P__bottom,0.5184635451805875
Q235P__bottom,Q238P__top,0.5297080915755858
Q235P__bottom,Q243__top,0.517938280954184
Q235P__bottom,Q246__top,0.5267482650804545
Q235P__bottom,Q93,0.5189966724232341
Q93,Q206P__top,0.5533254707046881
Q122__top,Q127__top,0.5646532195219196
Q127__top,Q246__top,0.5995759256238786
Q246__top,Q177__bottom,0.6113553177702667
Q246__top,Q238P__top,0.5620567375886525
Q246__top,Q243__top,0.7109680676511423
Q246__top,Q249__top,0.6966745880123635
Q46P__middle,Q47P__middle,0.5193090992929603
Q134P__bottom,Q137P__bottom,0.6497567056741866
Q134P__bottom,Q222P__top,0.5694118900490092
Q134P__bottom,Q51P__bottom,0.5721979335279791
Q134P__bottom,Q52P__bottom,0.5850493875938364
Q134P__bottom,Q53P__bottom,0.5870176032498308
Q137P__bottom,Q52P__bottom,0.5037534571315686
Q137P__bottom,Q53P__bottom,0.5004908598510495
Q222P__top,Q238P__top,0.5198167483486043
Q51P__bottom,Q52P__bottom,0.7799948565118073
Q51P__bottom,Q53P__bottom,0.7852896237689666
Q51P__bottom,Q55P__bottom,0.7817423540315107
Q51P__bottom,Q56P__top,0.6028773278066049
Q52P__bottom,Q53P__bottom,0.7580244962465429
Q52P__bottom,Q55P__bottom,0.7378077799764546
Q53P__bottom,Q55P__bottom,0.7044310297322346
Q53P__bottom,Q56P__top,0.6000846310088016
Q177__bottom,Q179__bottom,0.6889415300755232
Q177__bottom,Q180__bottom,0.7178394761673291
Q177__bottom,Q181__bottom,0.6996645635332641
Q177__bottom,Q189__bottom,0.6599742565586061
Q177__bottom,Q190__bottom,0.6781486562007824
Q177__bottom,Q191__bottom,0.6758667791571251
Q177__bottom,Q192__bottom,0.6678290051518687
Q177__bottom,Q194__bottom,0.6769520619635755
Q177__bottom,Q238P__top,0.5209540988774277
Q177__bottom,Q243__top,0.661192098952417
Q179__bottom,Q180__bottom,0.8469032972911015
Q179__bottom,Q181__bottom,0.8971459137278875
Q179__bottom,Q189__bottom,0.8681975063360461
Q179__bottom,Q190__bottom,0.6769826411441817
Q179__bottom,Q191__bottom,0.8720055018530547
Q179__bottom,Q192__bottom,0.8824488340401686
Q179__bottom,Q194__bottom,0.8364599651039876
Q180__bottom,Q181__bottom,0.8654127732076777
Q180__bottom,Q189__bottom,0.8145012539975318
Q180__bottom,Q190__bottom,0.693034626712035
Q180__bottom,Q191__bottom,0.8300054906057075
Q180__bottom,Q192__bottom,0.8151750717722166
Q180__bottom,Q194__bottom,0.8290698485800014
Q181__bottom,Q189__bottom,0.8720922517549331
Q181__bottom,Q190__bottom,0.6892820062295344
Q181__bottom,Q191__bottom,0.8801347070255304
Q181__bottom,Q192__bottom,0.8779937862957671
Q181__bottom,Q194__bottom,0.8476026941405106
Q189__bottom,Q190__bottom,0.7152961159251051
Q189__bottom,Q191__bottom,0.887233110842766
Q189__bottom,Q192__bottom,0.8767877508750311
Q189__bottom,Q194__bottom,0.8375376531004923
Q190__bottom,Q191__bottom,0.7221887429191274
Q190__bottom,Q192__bottom,0.6901144422741633
Q190__bottom,Q194__bottom,0.6941176470588235
Q191__bottom,Q192__bottom,0.8901327949870875
Q191__bottom,Q194__bottom,0.8679308451515273
Q192__bottom,Q194__bottom,0.8896215408413408
Q238P__top,Q237P__bottom,0.509626068618336
Q238P__top,Q243__top,0.5519058437460558
Q238P__top,Q249__top,0.5334016743550316
Q243__top,Q249__top,0.8155258375658171
Q206P__top,Q204P__top,0.7476937362482085
Q206P__top,Q205P__top,0.5695348485176135
Q204P__top,Q205P__top,0.5035022911241648
Q226P__bottom,Q230P__bottom,0.5365427146016561
Q237P__bottom,Q239P__bottom,0.6482664360826755
Q237P__bottom,Q245__bottom,0.6082686097098781
Q239P__bottom,Q245__bottom,0.5364987855979929
Q65P__middle,Q69P__middle,0.5639433952338366
Q65P__middle,Q70P__middle,0.5315207731615197
Q69P__middle,Q70P__middle,0.650218317639013
Q69P__middle,Q78P__middle,0.5202798674312168
Q69P__middle,Q79P__middle,0.5204153822830866
Q69P__middle,Q80P__middle,0.5155076477780273
Q69P__middle,Q81P__middle,0.508024097605427
Q70P__middle,Q78P__middle,0.5209180398031243
Q70P__middle,Q79P__middle,0.5058113093132548
Q70P__middle,Q80P__middle,0.5041794545499912
Q78P__middle,Q79P__middle,0.5639496690080348
Q78P__middle,Q80P__middle,0.5465229433340819
Q78P__middle,Q81P__middle,0.5308813851060599
Q79P__middle,Q80P__middle,0.7015495171794296
Q79P__middle,Q81P__middle,0.6516499065137198
Q79P__middle,Q85P__top,0.5041689827682045
Q79P__middle,Q88P__middle,0.5167264641972813
Q80P__middle,Q81P__middle,0.6735534096863538
Q80P__middle,Q88P__middle,0.5084212890186391
Q81P__middle,Q88P__middle,0.512960056700248
Q85P__top,Q88P__middle,0.5574093063215365
