u,v,sim
Q243__top,Q234P__top,0.6715259371450208
Q243__top,Q235P__bottom,0.517938280954184
Q243__top,Q241__top,0.5085037233371198
Q243__top,Q244__top,0.6080241070301653
Q243__top,Q246__top,0.7109680676511423
Q243__top,Q249__top,0.8155258375658171
Q243__top,Q250__top,0.7090432916824435
Q244__top,Q241__top,0.5943516483516483
Q244__top,Q246__top,0.6428162891786776
Q244__top,Q247__top,0.527956043956044
Q244__top,Q249__top,0.5849059534349129
Q244__top,Q250__top,0.5716330100174909
Q246__top,Q123__top,0.5802829253412644
Q246__top,Q127__top,0.5995759256238786
Q246__top,Q234P__top,0.6068651159553924
Q246__top,Q235P__bottom,0.5267482650804545
Q246__top,Q241__top,0.5348127812094867
Q246__top,Q249__top,0.6966745880123635
Q246__top,Q250__top,0.67272663027155
Q246__top,Q76P__top,0.5004956912987112
Q249__top,Q250__top,0.7002780237019088
Q249__top,Q33P__bottom,0.5182734572790955
Q250__top,Q221P__top,0.6004664228547199
Q250__top,Q222P__top,0.645536297945266
Q250__top,Q234P__top,0.6961498982236991
Q250__top,Q257P__top,0.5009805480468543
Q250__top,Q33P__bottom,0.5065988233423437
Q43P__bottom,Q112__top,0.5145554147048171
Q43P__bottom,Q128__top,0.5224966868713202
Q43P__bottom,Q151P,0.5142801944811154
Q43P__bottom,Q164__top,0.54086947372113
Q43P__bottom,Q167P,0.5095543842836607
Q43P__bottom,Q169P__top,0.5208031510322347
Q43P__bottom,Q172P__top,0.545161717336628
Q43P__bottom,Q173P__top,0.5143917325565266
Q43P__bottom,Q182__bottom,0.5458911198509625
Q43P__bottom,Q183__bottom,0.5212078760993073
Q43P__bottom,Q184__bottom,0.5390576902183754
Q43P__bottom,Q186__bottom,0.5122917421224195
Q43P__bottom,Q187__bottom,0.532259595608012
Q43P__bottom,Q188__bottom,0.5404173899321445
Q43P__bottom,Q193__bottom,0.5217440996628379
Q43P__bottom,Q203P__bottom,0.505210774140278
Q43P__bottom,Q205P__bottom,0.5309902895634677
Q43P__bottom,Q210P__bottom,0.5129060854148199
Q43P__bottom,Q212P__bottom,0.5086982186881489
Q43P__bottom,Q214P__bottom,0.5134462151394422
Q43P__bottom,Q215P__bottom,0.5108067027507971
Q43P__bottom,Q218P__bottom,0.5198201446478187
Q43P__bottom,Q254P__top,0.5241215992950765
Q43P__bottom,Q255P__top,0.5148584129074745
Q43P__bottom,Q257P__top,0.5116126403477002
Q43P__bottom,Q27P__top,0.5439261188728393
